DAVCNA_ST;MATICNA_ST;OSA_ID;NAZIV;NASLOV;KRAJ;POSTNA_ST;regija;SKD_SIFRA;DEJAVNOST;DEJAVNOST ŠTEVILKA;SKIS;VELIKOST_SUBJEKTA;ST_ZAPOSLENIH;ST_ZAPOSLENIH<10;ST_ZAPOSLENIH_MED_10_IN_30;ST_ZAPOSLENIH MED 30 IN 100;ST_ZAPOSLENIH NAD 100;AKTUALNO_LETO;SCENARIJ;DATUM_UVOZA;Prihodki 2018; Prihodki 2017 ;Dobi?ek 2018;Dobi?ek 2017;Osnovna sredstva 2018;Osnovna sredstva 2017;Prejemki iz javnih sredstev 2018;Prejemki iz javnih sredstev 2017;Razlika v prihodkih 2018 ;Razlika v prihodkih 2017;Prihodki 2016;KOMENATR;Prihodki 2015;KOMENTAR1;Dobi?ek 2016;KOMENTAR2;Dobi?ek 2015;KOMENTAR3;Osnovna sredstva 2016;Osnovna sredstva 2015
68803508;3325326;;MG DENTAL d.o.o.;Pot za Brdom 100;Ljubljana;1000;1;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;3;DA;NE;NE;NE;2018;6;30.05.2019;414.885;392.825;250.134;181.339;354316,31;315277,81;/;/;#VALUE!;#VALUE!;328223;328223;372977;372977;117192;117192;59456;100312;3037768;2902728
32596782;7041454;;ZOBOZDRAVSTVO ADS d.o.o.;Zadobrovška cesta 10;Ljubljana - Polje;1260;1;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;3;DA;NE;NE;NE;2018;6;30.05.2019;220.461;217.576;62.474;48.600;133772,75;157210,81;/;/;#VALUE!;#VALUE!;97706;97706;0;0;25611;25611;0;192305;353357,05;299450
68659555;6688403;69218359;MEDLINE d.o.o.;Cesta v Mestni log 55;Ljubljana;1000;1;Q86.220;Specialisti?na zunajbolnišni?na zdravstvena dejavnost;7;S.11002;Mikro enote;3;DA;NE;NE;NE;2018;2;30.05.2019;245.321;73.761;41.502;23.849;97566,3;32098,95;/;/;#VALUE!;#VALUE!;33569;33569;17116;17116;23849;23849;11470;29049;159527,76;143376,34
65655699;2289539;;MOS-DENT d.o.o.;Mlakarjeva ulica 76;Šen?ur;4208;4;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;3;DA;NE;NE;NE;2018;6;30.05.2019;171.164;153.759;22.407;19.983;75206,97;53092,14;/;/;#VALUE!;#VALUE!;158841;158841;151123;151123;16526;16526;15478;414785;944215,45;944483,93
12850764;6205798;;GOLENHOFEN, d.o.o.;Dolomitska ulica 3;Ljubljana;1000;1;Q86.901;Alternativne oblike zdravljenja;1;S.11002;Mikro enote;3;DA;NE;NE;NE;2018;6;30.05.2019;250.178;244.584;21.313;20.299;57136,13;77314,69;/;/;#VALUE!;#VALUE!;239224;239224;207619;207619;12673;12673;9542;341172;487411,98;439875
49639552;5653916;;DENTAL ŠRIMPF IN DRUGI, d.n.o.;Son?na ulica 7;Rogaška Slatina;3250;3;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;5;DA;NE;NE;NE;2018;6;30.05.2019;306.596;302.331;20.970;7.399;158815,54;138424,04;/;/;#VALUE!;#VALUE!;281117;281117;242944;242944;1921;1921;1015;8387;73826,74;65015,63
22519882;6091407;69214975;ESTETIKA MED-ART D.O.O.;Regentova cesta 37;Ljubljana;1000;1;Q86.220;Specialisti?na zunajbolnišni?na zdravstvena dejavnost;7;S.11002;Mikro enote;4;DA;NE;NE;NE;2018;2;30.05.2019;1.175.994;645.812;18.713;-37.080;265396,13;209088,38;/;/;#VALUE!;#VALUE!;242569;242569;206234;206234;-75527;-75527;-76808;523971;927975,29;655618
91783372;5950139;;DR. GORAZD KRANJC, d.o.o.;Strniševa cesta 14;Ljubljana - ?rnu?e;1231;1;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;2;DA;NE;NE;NE;2018;6;30.05.2019;69.662;63.424;6.055;4.985;22786,61;19930,96;/;/;#VALUE!;#VALUE!;58424;58424;63824;63824;4711;4711;2991;404341;510907,29;430484,33
16534107;6672990;;NITHI Y.A.S. d.o.o.;Podmilš?akova ulica 24;Ljubljana;1000;1;Q86.909;Druge zdravstvene dejavnosti;6;S.11002;Mikro enote;4;DA;NE;NE;NE;2018;6;30.05.2019;72.296;111.567;4.398;14.875;32976,75;34195,98;/;/;#VALUE!;#VALUE!;35592;35592;31160;31160;-14679;-14679;-8636;-4634;50288,85;50005
45078629;6549756;;Skin dermatologija d.o.o.;Peri?eva ulica 37;Ljubljana;1000;1;Q86.220;Specialisti?na zunajbolnišni?na zdravstvena dejavnost;7;S.11002;Mikro enote;4;DA;NE;NE;NE;2018;6;30.05.2019;292.547;194.642;-287.079;-294.056;491200,48;458118,74;/;/;#VALUE!;#VALUE!;66905;66905;1584;1584;-200749;-200749;-28480;111860;193247,89;158910
52111776;5057272;22000684;UKC Ljubljana;Zaloška cesta 2;Ljubljana;1000;1;Q86.100;Bolnišni?na zdravstvena dejavnost;2;S.13113;Velikost RS se ne izra?unava;8147;NE;NE;NE;DA;2018;1;30.05.2019;527.258.832;562.943.857;-22.444.536;46.383.021;307576282;283083808;492231025,7;523199114,5;35.027.806,30;39.744.742,53;467984920;467984920;453677304;453677304;-25484582;-25484582;-6295075;0;22050,96;0
56644817;5054150;22033321;UKC MARIBOR;Ljubljanska ulica 5;Maribor;2000;2;Q86.100;Bolnišni?na zdravstvena dejavnost;2;S.13113;Velikost RS se ne izra?unava;3348;NE;NE;NE;DA;2018;1;30.05.2019;212.452.721;199.804.103;-2.777.958;-3.990.111;124522576;125950932;194416247,3;188074603,4;18.036.473,67;11.729.499,60;186492847;186492847;179119056;179119056;-2436031;-2436031;999563;69993;45878,75;98936
